['Country,Other', 'TotalCases', 'NewCases', 'TotalDeaths', 'NewDeaths', 'TotalRecovered', 'NewRecovered', 'ActiveCases']
['World', '107,861,936', '+25,560', '2,365,119', '+1,660', '80,027,727', '+37,283', '25,469,090', '101,449']
['Zambia', '65,573', '', '901 ', '', '58,875']
['Norway', '65,547', '', '592 ', '', '57,004']
['Singapore', '59,747', '', '29 ', '', '59,526']
['El Salvador', '56,653', '', '1,709 ', '', '50,999']
['Afghanistan', '55,420', '', '2,419 ', '', '48,133']
['Luxembourg', '52,247', '', '602 ', '', '48,949']
['Estonia', '49,605', '', '477 ', '', '39,386']
['Finland', '48,807', '', '703 ', '', '31,000']
['Uruguay', '46,778', '', '516 ', '', '40,769']
['Mozambique', '46,736', '', '486 ', '', '28,395']
['Uganda', '39,911', '', '328 ', '', '14,470']
['Namibia', '35,242', '', '378 ', '', '33,778']
['Cuba', '34,922', '', '249 ', '', '29,674']
['Zimbabwe', '34,864', '', '1,364 ', '', '29,471']
['Cyprus', '32,072', '', '217 ', '', '2,057']
['Cameroon', '31,394', '', '474 ', '', '29,501']
['Ivory Coast', '30,240', '', '169 ', '', '28,320']
['Senegal', '29,521', '', '712 ', '', '24,351']
['Australia', '28,877', '+6', '909 ', '', '26,107']
['Malawi', '28,050', '', '900 ', '', '12,583']
['Sudan', '27,820', '', '1,849 ', '', '22,208']
['Botswana', '24,435', '', '179 ', '', '20,542']
['Thailand', '24,104', '+201', '80 ', '', '19,799']
['DRC', '23,890', '', '686 ', '', '15,168']
['Angola', '20,210', '', '487 ', '', '18,687']
['Madagascar', '19,360', '', '285 ', '', '18,490']
['Malta', '19,182', '', '286 ', '', '16,490']
['French Polynesia', '18,244', '', '135 ', '', '4,842']
['Jamaica', '17,908', '', '362 ', '', '12,406']
['Maldives', '17,201', '', '56 ', '', '14,978']
['Rwanda', '16,941', '', '229 ', '', '13,389']
['Mauritania', '16,902', '', '427 ', '', '16,121']
['Eswatini', '16,341', '', '616 ', '', '11,955']
['French Guiana', '16,296', '', '79 ', '', '9,995']
['Guinea', '14,791', '', '84 ', '', '14,381']
['Syria', '14,668', '', '965 ', '', '8,366']
['Cabo Verde', '14,543', '', '138 ', '', '13,983']
['Tajikistan', '13,308', '', '90 ', '', '13,218']
['Gabon', '12,171', '', '71 ', '', '11,275']
['Belize', '12,107', '', '313 ', '', '11,565']
['Haiti', '12,016', '', '246 ', '', '9,258']
['Mayotte', '11,783', '', '69 ', '', '2,964']
['Burkina Faso', '11,426', '', '134 ', '', '10,279']
['Réunion', '10,907', '', '47 ', '', '10,049']
['Hong Kong', '10,711', '', '189 ', '', '10,022']
['Andorra', '10,352', '', '106 ', '', '9,732']
['Lesotho', '9,804', '', '210 ', '', '2,888']
['Guadeloupe', '9,351', '', '156 ', '', '2,242']
['Suriname', '8,739', '', '164 ', '', '8,123']
['Congo', '8,354', '', '122 ', '', '5,846']
['Bahamas', '8,289', '', '176 ', '', '6,837']
['Mali', '8,203', '', '339 ', '', '6,100']
['Guyana', '8,092', '', '182 ', '', '7,124']
['Trinidad and Tobago', '7,631', '', '136 ', '', '7,314']
['Aruba', '7,319', '', '68 ', '', '6,922']
